config,rate,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"pd-1p2d","10",7.506342305655534,2280.2691592697324,2000,122.89095549999999,135.1514,137.0492,140.57049,13295.041908500001,22698.611700000016,25238.7723,29820.63569,43.8257895214001,53.081,54.062,56.697,0,0,2000,"STABLE",0
"pd-1p2d","20",7.885024483947226,2395.304852709004,2000,126.2639945,147.98220000000003,154.33845,155.19407999999999,15153.3937585,27800.19230000001,31579.404399999996,36455.547869999995,48.24029976319362,81.072,81.735,81.93,0,0,2000,"STABLE",0
"pd-1p2d","30",7.628647266482496,2324.8803331078043,1828,122.10266221272047,150.39,154.2625,155.1174,14815.574928915019,29049.047,32806.471,37000.3448,47.17542296588848,80.968,81.66,81.88,0,0,1828,"STABLE",0
"pd-1p2d","50",7.248567629712576,2208.619481595449,1672,117.82369783352337,147.46769999999998,154.15935,155.05728,13989.470510262257,29474.419900000004,33833.716199999995,37337.2526,45.15231307332674,80.816,81.594,81.813,0,6,1672,"STABLE",0
"pd-1p2d","80",6.96299399341675,2132.3037618314866,1600,116.09480764705883,145.8276,154.03404999999998,154.95423,13742.188198823531,29396.0418,33776.72139999999,37829.0111,44.561321307031086,80.62,81.46,81.851,0,1,1600,"STABLE",0
"pd-1p2d","100",7.028096824455918,2153.501110784114,1600,116.2986011764706,146.09150000000008,154.12369999999999,155.36138,13949.19538882353,29970.771700000005,34835.52475,39077.019389999994,45.0014729024825,80.814,81.566,81.873,0,9,1600,"STABLE",0
"agg-3xtp4","10",8.777276225196838,2666.3521944140703,2000,51.8026855,61.82020000000001,64.1054,69.06745,7033.7964035,11316.115700000002,12473.580549999997,14891.909169999999,23.057136452660192,24.538,25.161,28.545,0,0,0,"OVERLOADED",0.08111790675821735
"agg-3xtp4","20",9.81806906926173,2982.523203791259,2000,57.444123,71.4499,75.22995,82.37407999999999,8339.352451,13533.8371,14894.60765,17393.9506,27.350415081627194,32.401,33.361,36.391,0,0,0,"STABLE",0
"agg-3xtp4","30",9.931299934762283,3016.9203628821515,2000,60.058266499999995,78.2078,84.25425,92.29605,9104.7029835,14997.2436,16376.985949999998,19185.10028,29.869534270870833,38.678,39.931,42.294,0,0,0,"STABLE",0
"agg-3xtp4","50",9.974795238525507,3030.1333227640403,2000,62.7997665,84.2643,91.6968,103.12808,9808.754839,16133.2283,17693.779749999998,20099.29483,32.185779306028486,44.161,47.533,50.413,0,0,0,"STABLE",0
"agg-3xtp4","80",9.972196469163343,3029.343871205971,2000,63.505588499999995,86.443,94.5812,107.77302999999999,10219.0844875,16766.953500000007,18434.00575,20794.94554,33.53865987733628,48.211,51.426,54.409,0,0,0,"STABLE",0
"agg-3xtp4","100",9.982768942184276,3032.555566487797,2000,63.6763825,87.5173,94.39335,107.60857999999999,10334.7046195,16932.3845,18722.996199999998,20814.921299999998,33.919958904019104,49.203,52.745,55.364,0,0,0,"STABLE",0
