arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.2","123",0.20489791962081227,816.5977100817498,500,46.246556,53.764100000000006,61.6218,99.2216099999999,70678.16303,131482.9482,140322.81575,144121.65211999998,17.72697324507553,18.276,18.46,18.844,0,0,0,"STABLE",0
"agg-4xtp4","0.2","42",0.19217688555833912,799.2859595558572,500,46.124614,53.561800000000005,57.1447,107.19705999999995,73614.57670399999,123797.5078,139375.933,143832.58948000002,17.692549964936042,18.248,18.45,18.788,0,0,0,"STABLE",0
"agg-4xtp4","0.2","777",0.1886979567860341,767.8561414842607,500,45.686266,53.0108,58.4023,90.4596999999999,71894.02978,132456.66170000003,140399.18185,143513.52282,17.660627809019836,18.172,18.337,18.676,0,0,0,"STABLE",0
"agg-4xtp4","0.5","123",0.47023101418039837,1874.0530411423895,500,48.213722000000004,55.5118,60.75499999999995,106.74154999999996,76915.971436,142338.38700000002,152095.65395,156773.69328999997,19.2920420184982,20.498,20.755,21.094,0,0,0,"STABLE",0
"agg-4xtp4","0.5","42",0.444705861523965,1849.5832639581072,500,48.474962,55.9993,62.50339999999997,113.69353999999997,79527.05106200001,135330.16440000004,149755.07955,156871.207,19.113896557960384,20.199,20.542,20.949,0,0,0,"OVERLOADED",0.09914624264166523
"agg-4xtp4","0.5","777",0.4425607046710703,1800.883066511478,500,47.96646,55.892300000000006,60.78569999999998,91.64267999999979,77863.168888,144136.86789999998,150693.47884999996,157189.3915,19.12732291898647,20.143,20.439,21.19,0,0,0,"OVERLOADED",0.15420866052378027
"agg-4xtp4","1","123",0.8078268547348333,3219.5034529379477,500,52.018396,61.170500000000004,64.51404999999997,114.00851999999998,87694.041002,157655.9911,173982.03055,183362.41387999998,21.99616242343868,23.776,24.022,24.463,0,0,0,"OVERLOADED",0.4308564469933386
"agg-4xtp4","1","42",0.7682246242584938,3195.13532634749,500,52.231262,60.077400000000004,65.22465,110.43683999999985,90260.981042,155256.5624,169084.02724999996,180553.35337,21.694433916706508,23.475,23.907,24.612,0,0,0,"STABLE",0
"agg-4xtp4","1","777",0.7733840115170986,3147.080514721769,500,51.516336,60.18590000000001,65.59109999999997,98.79056999999987,88406.81401199999,160980.9177,173473.07599999997,181065.06934999998,21.718151088654192,23.349,23.694,24.611,0,0,0,"OVERLOADED",0.37841150247258104
"agg-4xtp4","10","123",1.7181257941606953,6847.397922538506,500,57.640784,75.0575,80.8146,116.70660999999998,133355.537074,235961.01820000005,248017.17289999998,255238.34516,33.45485411812303,38.327,38.581,39.576,0,0,0,"OVERLOADED",1
"agg-4xtp4","10","42",1.6466248328893973,6848.503688467618,500,59.19146,77.43670000000002,84.51694999999998,130.57514999999987,143200.268876,233461.06910000002,251327.93355,260319.35647,34.424316304788036,39.503,39.863,40.301,0,0,0,"OVERLOADED",1
"agg-4xtp4","10","777",1.662208822070931,6763.916653870982,500,58.973714,75.4061,82.0899,113.55446999999998,136434.306368,239696.63030000005,251202.0834,258006.55599999998,33.52180716595948,38.29,38.613,39.177,0,0,0,"OVERLOADED",1
"agg-4xtp4","100","123",1.886010342133856,7516.482985416164,500,60.135332000000005,77.90010000000002,94.92434999999983,140.80584999999994,138576.995326,241851.8917,254822.39105,261724.36474999998,34.764707401488,38.761,39.119,39.601,0,0,0,"OVERLOADED",1
"agg-4xtp4","100","42",1.8227385851069016,7580.981213135476,500,62.205288,80.1433,96.68684999999996,194.78449999999975,149374.614744,242495.29460000002,258532.73979999998,269901.43472,35.90848173932618,39.788,40.27,40.798,0,0,0,"OVERLOADED",1
"agg-4xtp4","100","777",1.8408666776755402,7490.9172742643495,500,58.426364,75.0302,82.49154999999999,118.41908999999995,142532.773124,248438.0369,257918.85194999995,267466.7657,35.02098693437988,38.912,39.257,39.826,0,0,0,"OVERLOADED",1
"agg-4xtp4","2","123",1.2013816869727645,4787.972158681012,500,57.732756,73.01020000000001,77.3951,113.38816999999993,106777.08951399999,190147.9837,209009.98349999997,221392.81831,26.7841836081225,31.022,31.74,32.67,0,0,0,"OVERLOADED",1
