arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.2","42",1.0876139446858553,477.2984255780676,855,277.7969964912281,683.5088000000002,832.5037999999997,1240.9576600000005,13495.16617894737,35168.950600000004,51848.22999999997,98426.30470000012,30.185265869040848,39.832,43.897,56.745,0,0,0,"OVERLOADED",0.40585991997924126
"agg-4xtp4","0.2","123",1.169331045369561,484.4664042377741,885,265.24899548022603,665.7282000000001,783.9992,1100.0599199999974,12494.362160451976,30146.64940000001,43866.26799999999,103497.56875999969,29.586301891847558,38.84,42.451,56.87,0,0,0,"STABLE",0
"agg-4xtp4","0.2","777",1.1620262459370803,442.98278728730895,885,253.72933898305084,652.1850000000001,759.7421999999999,1029.3143599999999,11097.361383050848,23523.99040000001,41639.40419999997,97560.56991999986,28.51763260830156,36.002,40.695,53.867,0,0,0,"OVERLOADED",0.4941310639921964
"agg-4xtp4","0.4","42",1.417598599766416,626.0039811309839,1125,332.21617422222226,778.3594,922.17,1481.8171200000002,16753.321427555555,40905.77180000002,69147.51039999998,142172.37535999998,37.26855882655562,50.291,56.171,68.602,0,0,0,"OVERLOADED",0.6352371021965311
"agg-4xtp4","0.4","123",1.6149001366480047,661.0512964361775,1200,321.72915416666666,765.1082000000008,964.3712499999999,1613.97898,14926.358001666667,34891.85420000004,57893.336349999976,122784.87192,35.76351332206835,49.163,55.10534999999997,68.765,0,0,0,"OVERLOADED",0.7306856643441486
"agg-4xtp4","0.4","777",1.5781230306790057,614.8900574576868,1095,283.0669287671233,682.9304000000001,806.6486,1258.48498,13677.03270045662,32780.8712,52482.247499999976,117903.69099999947,34.462234416783765,46.711,51.786,65.17,0,0,0,"OVERLOADED",0.7586708269805734
"agg-4xtp4","0.7","42",1.7374776223224373,753.904905538185,1365,387.4956967032967,886.0916,1178.0185999999994,1934.3375599999993,18946.484543589744,45445.26420000005,73939.7966,151969.94615999993,42.86875049033793,59.721,67.585,78.551,0,0,0,"OVERLOADED",0.5922906841294636
"agg-4xtp4","0.7","123",1.8850133603267247,771.515023788836,1440,371.021025,891.5555000000003,1160.1337999999996,1756.1199199999996,17848.489859722224,43329.41330000006,70399.43609999999,147020.52914999996,42.80472065326838,62.111,67.248,80.433,0,0,0,"OVERLOADED",0.719919854298386
"agg-4xtp4","0.7","777",1.8452619478309045,708.2387289114691,1425,405.9559747368421,946.8736000000016,1320.5543999999998,2168.3171199999997,16766.87846526316,37778.08820000002,55603.579199999986,148902.46232,42.73645687071388,60.729,70.903,82.98390000000003,0,0,0,"OVERLOADED",0.5005710803200908
"agg-4xtp4","1.0","42",1.769968312403447,766.3345739533795,1635,457.74074740061167,1025.0496,1445.3029,2542.1260400000006,21999.920637920488,51970.38440000005,87688.37019999995,199124.62202000016,49.86838291967723,75.347,85.259,98.174,0,0,0,"OVERLOADED",0.6593674141466465
"agg-4xtp4","1.0","123",2.152127665331478,867.7035387216922,1755,484.8812484330484,1117.7552000000003,1586.099799999999,2469.1108600000007,20939.468086039888,51912.35280000007,83699.4093,178643.8129800001,50.85684044951143,78.367,86.261,104.033,0,0,0,"OVERLOADED",0.7143499527006215
"agg-4xtp4","1.0","777",2.06274906850342,794.2318916279818,1740,556.7319252873564,1358.0293000000001,1873.37065,2718.1843199999994,20158.670393678163,47721.76110000007,72594.32134999998,164503.64570999978,51.03995521697878,75.16,83.459,94.512,0,0,0,"OVERLOADED",0.5056239281884508
"agg-4xtp4","1.5","42",1.9855302556517076,848.3074548966241,1871,568.9602529348986,1369.5806,1904.4835999999998,2704.9712799999998,25120.130929983967,61502.608,98043.5285,204020.50619999992,57.598228364998796,85.538,93.55,107.982,3,0,0,"OVERLOADED",0.6774404230073041
"agg-4xtp4","1.5","123",2.2814732055968756,903.3421042028468,2088,631.2230963740458,1526.1275,2031.67425,2905.265300000003,24702.313456417625,61113.565899999994,93235.05769999999,205725.00747,60.946700838781105,94.348,103.34,121.688,8,0,0,"OVERLOADED",0.7764553398741255
"agg-4xtp4","1.5","777",2.306277701280898,881.8099099348705,2017,700.0895130993574,1706.9895999999994,2290.308899999998,3991.293559999998,23476.487755081806,51854.805200000024,86581.0687999998,196527.86203999945,59.72280271507449,89.892,98.791,109.089,6,0,0,"STABLE",0.002965892239248591
"agg-4xtp4","2.2","42",2.2283873526465134,912.1132184969966,2191,784.287815168029,1828.362000000001,2561.9049999999997,4804.892789999971,28275.94484892743,68603.668,108758.235,217425.36939999973,67.32159957814443,99.956,107.447,116.69,11,0,0,"STABLE",0.004995458673932807
"agg-4xtp4","2.2","123",2.5243589558447357,971.9998290156539,2449,864.6180287915653,2068.5764999999997,2855.69625,4886.524599999983,28845.731744385463,70230.9072,110624.45979999994,222413.83503999998,72.85939877877887,106.44,115.673,132.553,17,0,0,"OVERLOADED",0.6576506464492735
"agg-4xtp4","2.2","777",2.4014045933058297,912.1799974707991,2471,1271.884111961337,2834.608200000004,4526.000400000003,12209.987119999963,29400.615038445972,69935.871,106900.4445,224995.8839000006,74.24269986166672,116.298,123.279,134.569,12,0,0,"STABLE",0.004832863471606941
"agg-4xtp4","3.0","42",2.5121952741896667,999.7487896411769,2466,1242.0560538368823,2715.8082000000036,4137.559999999999,12781.195679999968,32039.771635036494,75796.94300000001,120401.52325,224863.39329999953,77.60523956608394,112.587,120.48,135.068,23,0,0,"STABLE",0.009240658899156262
"agg-4xtp4","3.0","123",2.649150792269065,1013.0139733515615,2638,1159.0493516153267,2846.6639000000005,4064.2685999999967,8305.620689999994,31512.113042077333,78847.29250000004,124139.16835000011,217241.61291000055,79.59133693266753,118.505,124.535,131.137,24,0,0,"OVERLOADED",0.715555594723901
"agg-4xtp4","3.0","777",2.7151914000589104,974.7427441652543,2723,1798.7664040771751,3995.756800000001,7775.429399999997,17263.73766,31745.552608887254,74726.67180000004,111029.1152,205541.5959400002,83.62830920177304,117.158,122.048,130.584,24,0,0,"STABLE",0.008736803785948322
"pd-1p3d-thresh16","0.2","42",1.0564211022321917,463.6094740294199,855,486.25015789473684,596.511,810.8208,1025.4703600000046,15260.696461988304,39581.6796,58588.04649999984,113593.52286000007,33.96958499149217,44.988,47.758,54.628,0,0,855,"OVERLOADED",0.5190031349991485
"pd-1p3d-thresh16","0.2","123",1.1306159119991122,468.4263088962198,885,479.4599898305085,575.149,812.2539999999999,1227.9411999999993,13920.215868926553,32904.59,52822.26639999993,117779.10595999961,32.75283922029635,43.46,47.042,51.472,0,0,885,"STABLE",0
"pd-1p3d-thresh16","0.2","777",1.142112993282925,435.39154036363857,885,470.9907661016949,576.2529999999999,637.3758,924.7336799999994,12302.441632768361,27461.83340000003,46449.488799999934,98024.04715999999,31.362051861713983,40.86,43.909,50.573,0,0,885,"OVERLOADED",0.6264323866597716
"pd-1p3d-thresh16","0.4","42",1.288923278965965,569.1816457338823,1125,549.9118364444445,848.0806000000001,1106.0459999999998,1595.92528,18921.773524444445,42763.381,72986.09379999993,155556.78707999995,41.94985893610454,58.536,61.415,68.572,0,0,1125,"STABLE",0
"pd-1p3d-thresh16","0.4","123",1.5201761637905293,622.2765117668342,1200,575.2040566666666,969.0722000000002,1297.5327499999999,1663.84566,16858.375175,39818.03340000002,64306.664699999994,130282.57128999995,40.14249030435865,53.289,57.331,67.46,0,0,1200,"OVERLOADED",0.742733123137522
"pd-1p3d-thresh16","0.4","777",1.4622127782950962,569.7275065267804,1095,510.3024328767124,703.7200000000001,898.847,1333.7050199999999,15762.82449589041,36166.8798,58613.218199999916,142037.26323999965,39.516031723353564,61.643,73.534,80.641,0,0,1095,"OVERLOADED",0.8261864091674624
