arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","5","42",7.222868213949588,2217.3894681577026,2092,55.419938336520076,65.4196,114.73729999999998,124.22174000000003,6446.011900095603,10412.265800000001,11436.070449999994,13855.76353,20.88204182502972,22.931,23.659,28.092,0,0,0,"STABLE",0
"agg-4xtp4","5","123",8.00808117259899,2396.8568960528105,2264,55.456470406360424,64.0569,114.16945,123.2144,6353.214908127208,10342.8374,11580.0975,13941.877389999978,21.109221387937136,22.751,23.487,28.032,0,0,0,"STABLE",0
"agg-4xtp4","5","777",7.929938932481604,2334.5790135906173,2224,55.30235431654676,63.55870000000001,114.16699999999999,123.96239,6198.9774375,10260.7021,11379.55675,13242.18161,20.936894694899642,22.809,23.377,27.798,0,0,0,"STABLE",0
"agg-4xtp4","10","42",10.745141326293627,3270.8186702030816,2744,58.0851111516035,69.1115,115.3932,128.12062,7225.062633017493,11839.581600000003,13338.00415,15801.170670000003,23.619662776912275,27.434,28.158,33.247,0,0,0,"STABLE",0
"agg-4xtp4","10","123",11.755661042360412,3512.9994344716024,2928,58.499631830601096,70.11630000000002,115.08210000000003,129.24704000000003,7204.845373292349,11974.1566,13362.14475,16234.906810000002,23.991726802054906,27.804,28.776,33.723,0,0,0,"STABLE",0
"agg-4xtp4","10","777",11.410549190604183,3398.3785086616645,2880,57.68657777777778,68.61399999999999,114.02779999999997,129.10521,7052.4176836805555,11610.5116,12935.815799999997,15321.932530000004,23.56233017766569,27.488,28.203,32.963,0,0,0,"STABLE",0
"agg-4xtp4","20","42",15.670717125694726,4769.828636725617,3620,61.61168867403315,71.5817,112.0152,145.48049,8132.914560497237,13218.4033,14695.054900000001,17434.27523,26.602172273567465,28.673,30.021,36.521,0,0,0,"STABLE",0
"agg-4xtp4","20","123",16.909139355510703,5095.162692005719,3844,63.01933714880333,74.16490000000002,104.34799999999997,145.75789000000003,8399.465063735692,13679.271500000003,15405.054900000001,18336.476350000004,27.7554050143228,31.103,32.704,38.077,0,0,0,"STABLE",0
"agg-4xtp4","20","777",16.840429605240015,5009.470915045504,3780,62.470515343915345,73.80460000000001,106.61419999999995,143.28576000000004,8159.948632275133,13415.320600000001,14902.249349999995,17477.818570000003,27.31063826814022,30.338,31.558,36.863,0,0,0,"STABLE",0
"agg-4xtp4","40","42",18.297033771795828,5571.506248871588,4000,72.52284974999999,95.8089,114.57479999999957,185.0743899999999,10453.350852,17418.287099999998,19433.511199999997,23279.53528999999,34.20079027901678,44.32,46.283,50.434,0,0,0,"STABLE",0
"agg-4xtp4","40","123",18.345427036319926,5536.7049158424625,4000,72.65379325,97.6931,116.64274999999998,179.90983999999997,10452.35070325,17687.043599999997,19879.84095,23816.556249999983,34.504043875892194,46.734,49.222,51.969,0,0,0,"STABLE",0
"agg-4xtp4","40","777",18.41587694628886,5481.725179463181,4000,72.808397,98.0103,114.86244999999995,181.0665499999997,10355.21263925,17454.041299999997,19537.63025,22683.07352999999,34.65759883183949,46.78,48.376,50.859,0,0,0,"STABLE",0
"agg-4xtp4","70","42",18.239799686142295,5554.078283779309,4000,86.05342275,120.55049999999999,186.41354999999984,358.5869599999993,11900.330425,20401.5455,22794.898899999997,26758.127059999995,38.92380065864204,57.351,62.846,67.285,0,0,0,"STABLE",0
"agg-4xtp4","70","123",18.39777578985722,5552.503926706278,4000,91.88341075,126.2891,236.52149999999997,458.65692999999993,11740.599496750001,20596.6943,22903.00635,27085.445099999994,38.72281555037682,58.553,63.934,68.661,0,0,0,"STABLE",0
"agg-4xtp4","70","777",18.451165698751574,5492.229335387489,4000,85.050665,123.6111,181.28699999999995,329.47885999999966,11610.70309925,20298.427799999998,22163.09725,25942.85441999999,38.84837487064447,57.657,63.6,67.704,0,0,0,"STABLE",0
"agg-4xtp4","110","42",18.167834317163198,5532.164595037724,4000,154.74585425,291.68619999999993,869.4342499999998,1192.8563899999995,12738.482242,22184.3499,24896.510000000002,28726.715829999986,41.45905978848661,65.326,70.872,74.349,0,0,0,"STABLE",0
"agg-4xtp4","110","123",18.430315805304357,5562.3246009882705,4000,171.72726175,509.12939999999946,962.1231499999998,1308.0510799999988,12435.524823999998,22129.4334,24815.6843,28777.577459999997,40.76761389430956,65.723,70.408,74.03,0,0,0,"STABLE",0
"agg-4xtp4","110","777",18.490224708187736,5503.855757313286,4000,159.82902675,489.9206999999999,808.0950999999999,1221.437319999997,12274.654324750001,21748.653899999998,23890.709449999995,27390.82358999999,40.834375361942676,64.336,70.177,73.666,0,0,0,"STABLE",0
"agg-4xtp4","160","42",18.191868031241114,5539.4829390840205,4000,290.23160725,1263.1034999999997,1659.252799999999,1991.9556699999996,13171.90871075,23522.8302,26146.774549999995,29634.176139999985,42.440732030052395,69.341,74.088,76.88,0,0,0,"STABLE",0
"agg-4xtp4","160","123",18.432973308179083,5563.126643328372,4000,337.42892825,1505.0439999999999,1815.91725,2020.0496899999998,12811.4841665,23158.361699999998,26133.797099999992,29652.11134999998,41.46660185653069,68.845,73.355,76.014,0,0,0,"STABLE",0
"agg-4xtp4","160","777",18.548022067212486,5521.059892592671,4000,322.17291775,1378.4921999999997,1721.6429499999997,1969.08594,12631.15939425,22668.128999999997,24995.627699999994,28339.479689999996,41.48885933365468,68.275,72.653,75.294,0,0,0,"STABLE",0
"pd-1p3d-thresh16","5","42",7.159707831078289,2197.999502338702,2092,102.89494311663479,108.4868,111.1159,159.0179,6865.550852294456,11135.794700000002,12297.580549999997,15036.985150000004,22.314628918850943,24.935,25.677,27.755,0,0,2084,"STABLE",0
"pd-1p3d-thresh16","5","123",7.927077553099672,2372.612126323639,2264,102.79841342756184,108.3704,110.45745,158.99306,6800.72727164311,11121.263200000001,12545.59455,14953.683349999992,22.672350090766137,25.179,25.774,26.469,0,0,2253,"STABLE",0
"pd-1p3d-thresh16","5","777",7.874949373175629,2318.3900527152086,2224,102.6086582733813,108.3109,110.4844,158.92339,6621.919133992806,11060.2609,12196.955149999998,14572.10264,22.441651150993913,25.163,25.872,26.809,0,0,2218,"STABLE",0
"pd-1p3d-thresh16","10","42",10.522954402282194,3203.1850191171484,2744,106.53073651603499,114.92040000000001,118.0184,161.98134000000002,8020.191676749271,13402.403000000006,15164.230549999997,17886.9831,26.31691715243553,31.917,32.888,34.335,0,0,2729,"STABLE",0
