arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.3","42",0.2661475098945014,2041.8150298530622,1000,56.563736,69.9004,86.9583,107.33588999999995,169729.817676,402647.1246,501695.69784999994,720062.9753800001,22.119434722221136,24.903,25.642,28.217,0,0,0,"STABLE",0
"agg-4xtp4","0.3","123",0.26177941113365966,2084.4180375929427,1000,56.738214,70.15710000000001,84.51809999999998,102.30187999999998,180008.841532,429669.56260000006,563384.8711499998,762401.64255,22.602696919348595,25.721,26.585,28.162,0,0,0,"STABLE",0
"agg-4xtp4","0.3","777",0.25729582609089,1967.3533561639895,1000,56.005959000000004,67.43780000000001,83.04179999999995,100.53330999999999,167681.516676,406788.84340000007,518794.5196499999,724905.5019299999,21.92528631650681,24.757,25.472,26.431,0,0,0,"STABLE",0
"agg-4xtp4","0.6","42",0.4178619646469406,3205.729184384449,1000,65.463971,84.5553,101.83129999999997,130.44637,219198.148264,518805.4695,657331.0740499997,946818.0490299998,28.567237340664043,34.339,35.658,37.135,0,0,0,"OVERLOADED",1
"agg-4xtp4","0.6","123",0.4224352070505802,3363.6394912698306,1000,66.457721,87.9244,100.30464999999998,125.01336999999998,234280.780199,584642.0749,726930.8989999997,968637.47132,29.418275992533065,36.683,38.935,40.623,0,0,0,"OVERLOADED",1
"agg-4xtp4","0.6","777",0.42293211804928305,3233.853166276692,1000,65.500347,83.1851,96.04124999999999,122.65153,217332.067583,536002.8519,702119.9427499998,955061.17478,28.4183279643492,34.034,34.883,36.28,0,0,0,"OVERLOADED",0.8892269741732574
"agg-4xtp4","1.0","42",0.5075018383797344,3893.42316857502,1000,72.452745,98.0603,115.5063,150.21412999999998,269648.23450900003,650393.3661,826598.4153999998,1138900.8157600001,35.143276199877405,45.233,46.911,48.813,0,0,0,"OVERLOADED",1
"agg-4xtp4","1.0","123",0.5079499451637304,4044.5504224663123,1000,72.380207,101.7194,112.20344999999999,137.78924999999998,285582.204752,741200.9714,906431.7513999996,1157207.99152,35.86122203949558,47.399,49.829,51.626,0,0,0,"OVERLOADED",1
"agg-4xtp4","1.0","777",0.5175565464401062,3957.3770943485906,1000,72.180535,97.1921,105.61299999999999,145.18221,264232.093932,678402.4194,858567.3447999997,1120234.09892,34.55196957033565,43.422,44.285,45.234,0,0,0,"OVERLOADED",1
"agg-4xtp4","1.5","42",0.5582172398659083,4282.498644203363,1000,74.991685,102.6872,119.51565,152.06823,302361.975915,748006.8896,913307.5781999999,1232899.8009199998,39.407687969429816,51.895,53.252,54.334,0,0,0,"OVERLOADED",1
