arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"agg-6xtp4","40","42",3.144016426687079,1324.7854919378985,2960,422.1595738368173,946.8065,1142.9145,1543.8902999999996,25460.941057094595,60929.74649999999,97809.40124999998,210229.99271999983,59.56245704166322,88.81,98.519,115.255,6,0,0,"","OVERLOADED",0.6783701037802949
"agg-6xtp4","40","123",3.7745774269701053,1512.981535583146,2970,420.0101885714286,959.0577999999999,1121.8188999999998,1400.3334399999999,23929.97576868687,60362.71579999997,90285.29669999995,189116.50007999997,58.797576469736235,86.212,94.703,113.565,5,0,0,"","OVERLOADED",0.7643372987541638
"agg-6xtp4","40","777",3.5736607463071666,1373.2624086565647,3015,433.89331475953566,970.3744,1159.5347999999992,1523.52052,22848.819559203977,53777.6728,83453.07339999988,195265.38462000055,58.48085226585344,84.145,92.146,107.155,0,0,0,"","OVERLOADED",0.6379904165180565
"agg-6xtp4","80","42",3.2085572238741857,1339.4253989578838,2920,450.740695221843,1015.6438999999998,1215.5214499999995,1524.3399100000006,25261.467324999998,62624.419399999984,99336.96109999999,196541.46712,59.573672193321634,86.891,95.78,113.577,10,0,0,"","OVERLOADED",0.5868286985774365
"agg-6xtp4","80","123",3.639106998432378,1464.9963077441741,2974,471.33912252433703,1075.8980000000004,1294.7469999999998,1569.3525199999997,24370.519056489575,58250.999900000046,92640.81069999999,207844.35979999995,59.51254095305082,90.105,102.429,121.744,5,0,0,"","OVERLOADED",0.7426493023273364
"agg-6xtp4","80","777",3.390277267882212,1287.706942959229,2963,473.00246327493267,1057.1489000000006,1318.7144,1861.3764599999986,22582.91572089099,51586.78340000007,84276.7636000001,186651.0073000003,58.36191884923569,85.999,102.217,135.786,5,0,0,"","OVERLOADED",0.5555167747773588
"agg-6xtp4","100","42",3.232922251879361,1364.550902887796,2948,472.0839932318105,1072.1126,1248.0180999999982,1536.13038,25418.447697761192,62152.00680000013,99647.30440000011,206425.75574000017,59.24142309740338,85.257,94.599,111.225,7,0,0,"","STABLE",0.0023688663282571687
"agg-6xtp4","100","123",3.5910293627838543,1433.1335062894473,2962,486.0129333108791,1134.0832000000003,1419.0898,1652.9726800000008,24263.93558271438,58507.18400000001,92190.21404999997,193138.89024999976,59.72742113449362,88.319,101.057,118.062,7,0,0,"","OVERLOADED",0.7621291420960346
"agg-6xtp4","100","777",3.4467026906812515,1292.535813961574,2936,497.71704553177034,1204.0260000000003,1451.7434,1798.7122199999997,22442.943063351497,53047.1055,82325.67225,178732.9256000002,58.67275522433186,90.505,101.367,119.385,7,0,0,"","OVERLOADED",0.5676371935967324
"agg-6xtp4","200","42",3.2607972774027294,1374.0015961016834,2950,511.72073283733516,1162.8534000000002,1715.0358,1956.8108000000002,25718.32324644068,62827.369999999995,101256.52454999993,209899.0896899999,59.96053186419383,86.071,98.442,121.158,7,0,0,"","OVERLOADED",0.6782703134092521
"agg-6xtp4","200","123",3.6980780695939406,1491.7054342845097,2988,510.8712153126045,1143.596,1761.883,2130.597599999999,24281.51178313253,59359.62600000003,92206.46135000007,193180.94609000004,59.07420507348054,88.574,97.343,115.055,3,0,0,"","OVERLOADED",0.6391051566842741
"agg-6xtp4","200","777",3.467408511288613,1310.4106256711566,2956,521.9849632005402,1184.8973000000003,1805.6266999999993,2234.596379999998,22526.447564614344,52650.609,82273.84225,169538.30324999953,58.376154163323406,85.858,94.729,112.753,6,0,0,"","STABLE",0.002025658338960179
"pd-default","40","42",2.2703218432015815,891.9947464712259,2254,487.25950753985353,593.364,620.636,694.2456000000004,35141.09169021973,87623.481,140445.445,300000,83.02030660411535,102.179,104.545,107.434,25,0,2279,"1.0297","OVERLOADED",0.5325804899048462
"pd-default","40","123",2.432628515674252,918.9571315572276,2359,486.78882297241665,585.5154,619.0566,742.6066399999997,34673.37552696583,85601.52800000005,131047.41199999978,268312.2399999993,86.4851635009181,104.62370000000007,106.201,108.576,22,1,2381,"1.0297","OVERLOADED",0.48140885241130976
"pd-default","40","777",2.399769641433323,852.9344773578223,2385,487.06185749285424,590.4150000000001,620.3628,690.7838,31357.877019599837,73548.10220000005,114947.08119999999,235408.8733599999,83.90269762806103,102.817,104.967,108.298,17,0,2402,"1.0268","STABLE",0
"pd-default","80","42",2.3110584145134467,911.5329724016548,2323,525.6125336961071,621.1175999999999,813.0479999999998,1249.3732799999989,35737.22687735454,87853.1830000001,143632.0501999999,297841.2033599997,84.62611234462534,103.671,106.212,108.654,24,0,2347,"1.0284","STABLE",0
"pd-default","80","123",2.3882224267671783,899.5901059520875,2268,538.9223697694279,631.9906,1031.264849999999,1371.9259800000011,33210.26049487617,80859.7915,128061.0467999995,263913.1674600005,83.22607625959905,102.741,105.113,108.874,20,1,2288,"1.0326","OVERLOADED",0.532634116754669
"pd-default","80","777",2.5361965531987,895.0872228691968,2334,503.4231325,609.1539,654.7429,895.4704499999992,30709.536802083334,70613.7313,113336.45874999986,243390.72658999905,82.90878462197753,102.047,104.787,108.565,16,0,2350,"1.0283","STABLE",0
