arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"agg-3xtp4","1","42",0.4145890237361109,3136.024757797144,1000,81.089557,114.487,129.51719999999992,166.55796999999998,310971.97313,746755.1687,942085.4773499998,1496260.4238399996,41.10575576546734,53.345,55.963,59.429,0,0,0,"","OVERLOADED",1
"agg-3xtp4","1","123",0.3624488780446085,2940.79964954615,1000,80.995273,113.4496,129.14704999999998,167.05159999999995,350053.42094700004,877315.9311,1125969.9550499995,1521395.0839399996,43.13876568439957,58.004,59.051,60.443,0,0,0,"","OVERLOADED",1
"agg-3xtp4","1","777",0.34934233915153123,2902.371437247176,1000,85.003427,121.44260000000001,136.00924999999998,186.50573999999995,378337.321014,917560.7346,1154624.9638999999,1660663.7056799997,45.53351892399045,61.883,63.091,64.454,0,0,0,"","OVERLOADED",1
"agg-3xtp4","2","42",0.4583983277031254,3467.4060872504438,1000,84.17337699999999,122.86040000000001,138.67344999999997,196.1596,368578.208271,909390.6456,1109322.49965,1664661.4937099996,48.72201958171811,62.479,63.844,65.677,0,0,0,"","OVERLOADED",1
"agg-3xtp4","2","123",0.3876998718599584,3145.6785118107855,1000,86.347278,123.5719,139.29915,191.65531,416406.906798,1033911.8661999999,1277543.0913499997,1629522.4440899997,51.317075585856486,66.876,70.137,72.197,0,0,0,"","OVERLOADED",1
"agg-3xtp4","2","777",0.35974855705573267,2988.8273466232895,1000,85.080538,123.93010000000001,137.72675,191.12446999999997,435195.525288,1051772.381,1308394.1054999998,1802313.9695799998,52.37803991428538,70.262,72.012,74.076,0,0,0,"","OVERLOADED",1
"agg-3xtp4","3","42",0.47189193926014966,3569.474153437021,1000,83.057022,120.34740000000002,136.96629999999993,185.48597,390068.674649,950352.8332,1158303.9259499996,1722267.5909699998,51.56362737867962,66.163,66.781,67.783,0,0,0,"","OVERLOADED",1
"agg-3xtp4","3","123",0.39687721024763134,3220.1406364001555,1000,83.85946700000001,122.1566,136.80909999999997,188.92512999999997,441241.174756,1076522.8712000002,1316627.6837499999,1651891.5025799996,54.3785435405867,71.667,73.178,75.763,0,0,0,"","OVERLOADED",1
"agg-3xtp4","3","777",0.3634837055027364,3019.85933717099,1000,83.959553,123.3931,139.3816,190.36264999999997,456334.428809,1087799.8566,1363718.1322499998,1857480.08628,54.92285362318335,72.702,75.422,77.017,0,0,0,"","OVERLOADED",1
"agg-3xtp4","5","42",0.4735756810628614,3582.2102744550316,1000,83.263139,114.6108,132.7042,189.87566999999999,407269.912665,985471.8737000002,1194168.5177499999,1743397.76124,53.83794039541849,67.779,68.839,70.437,0,0,0,"","OVERLOADED",1
