arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
agg-4xtp4,10,42,10.7451413262936,3270.81867020308,2744,58.0851111516035,69.1115,115.3932,128.12062,7225.06263301749,11839.5816,13338.00415,15801.17067,23.6196627769123,27.434,28.158,33.247,0,0,0,STABLE,0
agg-4xtp4,10,123,11.7556610423604,3512.9994344716,2928,58.4996318306011,70.1163,115.0821,129.24704,7204.84537329235,11974.1566,13362.14475,16234.90681,23.9917268020549,27.804,28.776,33.723,0,0,0,STABLE,0
agg-4xtp4,10,777,11.4105491906042,3398.37850866166,2880,57.6865777777778,68.614,114.0278,129.10521,7052.41768368056,11610.5116,12935.8158,15321.93253,23.5623301776657,27.488,28.203,32.963,0,0,0,STABLE,0
agg-4xtp4,30,42,18.0945982702433,5509.86398073345,4000,67.889537,83.0079,106.16015,162.48465,9512.6680505,15769.2505,17508.1132,20540.73383,31.1166404758433,36.815,38.229,43.098,0,0,0,STABLE,0
agg-4xtp4,30,123,18.1661898912284,5482.61060774239,4000,68.6534695,86.0627,105.4419,163.66897,9613.5669585,15996.3055,17778.51015,21765.69422,31.7288607128253,39.067,40.746,43.534,0,0,0,STABLE,0
agg-4xtp4,30,777,18.2196315363748,5423.31018201193,4000,68.5383815,86.172,105.4775,165.38032,9486.34231325,15820.6036,17427.55245,20763.38514,31.7431797418283,38.782,40.717,44.832,0,0,0,STABLE,0
agg-4xtp4,50,42,18.3390198431175,5584.29114404376,4000,76.098495,104.1926,125.32835,210.51432,11101.33333125,18701.9929,20856.3505,25084.39001,36.3240190549854,50.385,53.486,57.377,0,0,0,STABLE,0
agg-4xtp4,50,123,18.3879571274298,5549.54062492971,4000,76.01353925,106.9647,132.5155,213.80379,11011.881257,18961.489,21327.1323,25226.43506,36.3529975357626,51.829,55.169,59.915,0,0,0,STABLE,0
agg-4xtp4,50,777,18.5470368201432,5520.76662099428,4000,75.8356925,107.6679,126.02655,197.85081,10900.5921345,18732.4671,20693.5853,24242.35641,36.4857749095775,51.346,54.903,58.084,0,0,0,STABLE,0
agg-4xtp4,80,42,18.2419091865406,5554.72063350648,4000,95.6543845,131.0873,244.6678,528.64112,12174.74625575,20954.7744,23363.28965,27513.10581,39.7963279511834,59.652,65.973,69.869,0,0,0,STABLE,0
agg-4xtp4,80,123,18.4056252302544,5554.87291136646,4000,106.49952375,138.6373,415.5352,712.0789,11973.7999695,21102.8479,23489.8987,27699.07732,39.4494850309006,60.809,66.676,70.805,0,0,0,STABLE,0
agg-4xtp4,80,777,18.5271431609814,5514.8450147272,4000,95.77475175,139.6033,259.51435,557.184299999999,11829.6671705,20708.6735,22865.4866,26380.0301,39.5503160783448,59.945,66.145,69.841,0,0,0,STABLE,0
agg-4xtp4,100,42,18.1881101104912,5538.33864000244,4000,132.53254975,189.7151,673.54025,973.392229999998,12585.78055825,21977.0111,24479.47715,28378.65714,41.0291191560552,64.037,69.912,73.594,0,0,0,STABLE,0
agg-4xtp4,100,123,18.4503918985473,5568.38362615727,4000,145.04222475,274.5997,772.110399999998,1113.24335,12312.59191775,21852.621,24437.94445,28439.71093,40.4476441159164,64.311,69.604,73.353,0,0,0,STABLE,0
agg-4xtp4,100,777,18.5654207880006,5526.23884801861,4000,132.94919475,263.3383,594.833849999999,1010.23458,12158.15351275,21423.4535,23613.10455,27102.07284,40.5322784371492,63.214,69.129,72.891,0,0,0,STABLE,0
agg-4xtp4,120,42,18.1517718014794,5527.27350680882,4000,179.1099495,544.2527,1054.64945,1381.29578,12857.4639765,22610.7339,25153.19255,29043.26499,41.7708114394162,66.19,71.896,75.33,0,0,0,STABLE,0
