arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","0.05","42",0.4173092466896716,187.12216173105992,600,150.65396666666666,299.60690000000005,366.02639999999985,577.2081599999999,9589.146461666665,24687.092500000006,37525.9963,76464.70740999997,21.094502318945317,23.977,24.977,27.907,0,0,0,"OVERLOADED",0.12121509035307373
"agg-4xtp4","0.05","123",0.500302176370466,227.77704822407588,570,148.69134385964912,300.0746,409.51974999999993,550.2398699999999,9875.861559649124,25004.129200000003,35954.42669999998,84218.40780999995,21.4106184584014,24.869,25.832,28.855,0,0,0,"STABLE",0
"agg-4xtp4","0.05","777",0.52270763360401,193.51013322242866,555,149.26702342342344,285.6598,369.2908999999999,573.8695,7851.732688288288,16924.225400000007,30375.449799999995,56914.74846000027,20.86007129471475,23.57,24.304,26.844,0,0,0,"STABLE",0
"agg-4xtp4","0.1","42",0.6532928522111183,295.98618274971324,675,165.04517925925924,331.28740000000005,397.7890999999997,592.5681,10775.153564444445,25205.283,43623.72799999993,85467.06993999997,23.468433749746023,28.987,31.823,41.851,0,0,0,"STABLE",0
"agg-4xtp4","0.1","123",0.7691566794388308,345.7933089378078,630,160.30760158730158,320.9504,410.39639999999974,571.1395000000007,10849.175384126984,27381.491400000006,42819.61209999995,92389.43959000007,23.826785348299023,29.592,31.884,42.142,0,0,0,"STABLE",0
"agg-4xtp4","0.1","777",0.8246865314950879,302.4837740269688,660,163.1802287878788,345.4480000000002,431.6451999999998,579.3048199999997,8679.042918181818,19425.904200000004,30883.490449999998,64571.536819999754,23.27884944846926,27.694,29.674,43.15364000000002,0,0,0,"STABLE",0
"agg-4xtp4","0.5","42",1.3155605268820696,586.1875904696575,1005,204.87628557213932,423.35220000000004,545.8915999999999,687.3179200000003,15379.197591044776,37316.71920000001,61554.783999999905,124596.84044000001,34.130057378755296,47.481,51.197,66.022,0,0,0,"OVERLOADED",0.612152966793855
"agg-4xtp4","0.5","123",1.4386579607618624,604.7531151854897,1005,193.72839601990052,396.79200000000003,509.1913999999999,706.5766400000003,13860.470997014925,33402.702600000004,52384.16819999996,112857.66576000015,32.587732596047985,43.433,47.89,61.256,0,0,0,"OVERLOADED",0.5865207482894739
"agg-4xtp4","0.5","777",1.6349219484357524,612.9558268946853,1005,195.33880895522387,376.3438,502.1931999999997,738.5663200000005,12318.056112437811,28358.836600000002,44584.3494,108735.94624000016,32.41902264332702,43.462,48.415,61.984,0,0,0,"OVERLOADED",0.5704426884082145
"agg-4xtp4","1","42",1.3818890365378886,615.742254401949,1005,203.78156517412936,412.9042,497.8819999999999,690.9496800000007,15575.789788059703,39246.725600000005,59690.2458,130701.94940000023,34.574717222131454,46.329,51.124,63.421,0,0,0,"STABLE",0
"agg-4xtp4","1","123",1.5883466925828373,667.6761513385453,1005,194.42002885572137,384.671,479.0032,741.2358000000003,14163.122678606964,34772.8622,51844.206799999985,114720.5802400002,33.30778367848601,46.131,51.249,64.604,0,0,0,"OVERLOADED",0.535798454028815
"agg-4xtp4","1","777",1.7317133853616653,649.2443330915786,1005,199.79556716417912,401.916,514.2743999999998,782.2038400000015,12664.893976119403,28266.890200000005,45846.82779999995,123650.8041600006,33.334689651501925,44.678,49.17,62.993,0,0,0,"OVERLOADED",0.7752627642863048
"agg-4xtp4","2","42",1.4597287229393037,650.426069613934,1005,206.96509950248756,423.31680000000006,532.3553999999998,730.1188800000007,15891.281673631842,41245.871800000015,65843.49179999993,121577.81872000017,35.277196598948535,46.689,50.892,64.466,0,0,0,"OVERLOADED",0.5726589445047261
"agg-4xtp4","2","123",1.6755105895120128,704.3162976674969,1005,196.19790945273633,382.7144,469.239,668.1595200000005,14227.332937313433,35684.121200000016,53180.273799999915,117978.42372000017,33.456659338104096,44.41,48.644,61.455,0,0,0,"OVERLOADED",0.5332166873909954
"agg-4xtp4","2","777",1.7570250696288057,658.7340487167842,1005,198.13007860696516,407.4382,498.2471999999998,697.938880000001,12625.760162189055,27835.988400000002,45887.12679999998,114688.82476000003,33.234484036041984,43.752,48.479,61.403,0,0,0,"OVERLOADED",0.7099846068683542
"agg-4xtp4","5","42",1.5048556525986971,670.5337314218083,1005,206.8296169154229,414.13260000000014,529.42,689.1200000000005,15752.171134328359,38664.31540000001,64466.740599999976,118721.02408000006,34.96459813385318,45.687,50.46519999999972,62.584,0,0,0,"OVERLOADED",0.5578819256155231
"agg-4xtp4","5","123",1.6792134179384435,705.8728156773062,1005,194.95509751243782,390.54540000000014,497.79999999999995,692.0606000000006,14378.49465074627,35850.53600000002,54348.3766,121198.36920000004,33.82008173095175,45.113499999999995,50.234,63.47865000000067,0,0,0,"OVERLOADED",0.5500534860077266
